Rank,CommunityID,Address,Type,Stake/Balance,Special-Interaction
58,56,pc1pynkcs6y52lnlr8erw0p4zwllss6vzg42rcw0ra,Validator,1000,
59,91,pc1rp82gq50wwh7tmldmeg3pr9rup4auwhsq85jrm7,Account,375.34007319,
59,91,pc1p08trg724thgxrpzytaakrvu5mmtd37e9vdj2ax,Validator,1000,
59,91,pc1p57wxs9yacw3jnq2fam5dwj6wgwxxd62qy20573,Validator,1000,
59,91,pc1p5j0q07032qh5vhwam3ssjrdjgywwqsjl4a3vjw,Validator,1000,
59,91,pc1p5k5q3x4y6k4ffq7lmetz87pf895xjmsnexu6x7,Validator,1000,
59,91,pc1p6jpthqljyk3w8sfkmfuk08gmfpg92ge4lj4jle,Validator,1000,
59,91,pc1p8nmdnhqmjcycufrpvwxgupvxrzdk92gf8j3p4g,Validator,1000,
59,91,pc1p97wcrrapkhw83tgnzrpwfx6ruspxr3qpfmvha3,Validator,1000,
59,91,pc1p9uyd50j2c4a5sx52l092sedvlz5tmer42ruf5l,Validator,1000,
59,91,pc1pac0aaka7knh6s9n56n0a0yn2dxfn36276m0tjl,Validator,1000,
59,91,pc1paq7m09el8k907y9exmkdhmpm3zuxw7klek72lv,Validator,1000,
59,91,pc1pc0j7yg43yx3pnyc080s3f72nvfsy7t2rlca8xe,Validator,1000,
59,91,pc1pcnh8gxw42hy463xkndafpu5jgu2yuyqmcjzccj,Validator,1000,
59,91,pc1pcnpycpnt0ekq59kadgcvwc2jzxy7ve8zrcxdda,Validator,1000,
59,91,pc1pcrdz36ryv5lcc7hqupyu6sfxqvxw6lzjzl5uux,Validator,1000,
59,91,pc1pel6qwfhrahv48h6n8yf8pmquw6wn8vyvzagrtg,Validator,1000,
59,91,pc1phmurv5ljmw3f8lf86vt65spxd5sdmev6v3l9vy,Validator,1000,
59,91,pc1pl2hjq8sd9pst6s9vygjsxd5286pgqjv8485jfc,Validator,1000,
59,91,pc1pmg36p500uj6f4s2ehrfhwaczuwqrnvw4us5gxj,Validator,1000,
59,91,pc1pmk9l0jv3jpwrezl2fdwtkz0hjqqyf8gcl6zvmn,Validator,1000,
59,91,pc1pmsaqmh2n7qxdd5p599fcqcu4p3cfxf9cfwckyk,Validator,1000,
59,91,pc1pnru6gfltselawt8ggq0p567dn03h6ndxh2ws8x,Validator,1000,
59,91,pc1prge09ul8wh7lhjtc0cxpajw4nw50sd0dr09sda,Validator,1000,
59,91,pc1px5aultjcd9dvj8yhcemey9p8knvvuh5n2g5mlt,Validator,1000,
59,91,pc1pxxmc2yfh5ydwa3zfvaxnzgksrqslpv78m0wn4m,Validator,1000,
59,91,pc1pyek3fxql72g2hmr5myh0lddkmpajqfrgtnu00f,Validator,1000,
60,67,pc1rhgx0zwfd2qr73u6nyezx839tzaamkmfldwfe59,Account,227.5,
60,67,pc1p8l0fk6039pa00hemduu2agqr763cyf46auh6mu,Validator,1000,
60,67,pc1p9lcwkv79y67l2p0lsedrx0f95g4ejdgluuhw0j,Validator,1000,
60,67,pc1paj3gfwmtdqrydmfdqhmtnwcdph3qp70agzmqvm,Validator,1000,
60,67,pc1paw639fj4m9vwrrcv7eps9kejt6qqrhuc6hlqmh,Validator,1000,
60,67,pc1pc5xz44ntux4vpmdquah54zpth2lxfqp0m57vnd,Validator,1000,
60,67,pc1pd4nhuus72c987zy23qnud9yaj3lfftfhkp4z2l,Validator,1000,
60,67,pc1pek2nh6kyy53rhfzccxjphl6rpfum9fu9jueztu,Validator,1000,
60,67,pc1peyar8lx8fsk6qcs5l6aaf0j3y3zf30u5tfc9te,Validator,1000,
60,67,pc1pjlmzqnm59qltntjclna2aw3dq5gn2ttljhglud,Validator,1000,
